episode,description
0,"To take the Hunter Exam and follow in his father's footsteps, 12-year-old Gon must first fulfill a promise to Mito-san, the woman who raised him"
1,"While taking a shortcut to the exam site, Gon, Leorio and Kurapika encounter an old lady who won't let them pass till they answer a quiz question"
2,"Gon, Kurapika and Leorio reach the exam site, where many other applicants have already arrived -- including a talkative ninja named Hanzo"
3,"For the first phase of the Hunter test, Satotz assesses the applicants' endurance and psyche with a long distance run with no end in sight"
4,"After making it through the long underground tunnel, the applicants find themselves in a foggy wetland, where they're attacked by monsters"
5,"After a dustup with Hisoka, Gon and his friends make it safely to the site for the second phase of the exam, which will test their cooking abilities"
6,"Aboard an airship taking them to the exam's third phase, Gon and Killua are invited to participate in a simple game that could turn them into Hunters"
7,"The airship arrives at the site for the exam's third phase, the top of Trick Tower, where applicants must reach the bottom within 72 hours to pass"
8,Gon and his friends must win three of the next four rounds -- which include a death match between Kurapika and serial killer Majitani
9,"Gon and Kurapika win their matches, giving the group a 2-1 lead. But the opponents claim Majitani is only unconscious, so Kurapika's match isn't over"
10,"After falling for his gambling opponent's mind games, Leorio loses and puts the group in a tight spot -- with their fate resting on Killua"
11,"The group members take varied approaches to their 50-hour penalty. Once they're allowed to return to the test, they must overcome many more hurdles"
12,"Gon writes a letter to Mito-san and Grandma detailing his journey, from the day of his departure to the latest challenge at Trick Tower"
13,"For the fourth phase of the exam, the applicants head to Zevil Island, where each candidate must collect 6 points to pass"
14,"Gon waits for the perfect time to use his skill with a fishing rod to snatch Hisoka's tag. Later, Kurapika and Leorio form an alliance"
15,"Hisoka is stalking Kurapika and Leorio. After they negotiate their way out of a fight, Hisoka goes in search of a new target"
16,"Tired of being shadowed by Imori, Killua challenges him to a fight. Meanwhile, Gon, Leorio and Kurapika formulate a plan for taking Ponzu's tag"
17,"Gon and his friends are trapped inside a cave with poisonous snakes. They seek to help Leorio, who has been bitten and is growing weak"
18,"In the final phase of the Hunter Exam, the first match is Hanzo vs. Gon, who can't do anything against his opponent -- but refuses to give up"
19,"After breaking his arm in the fight against Hanzo, Gon wakes up in bed and is congratulated by Satotz for passing the Hunter Exam"
20,"Dismayed that Killua was forced to kill, Gon proclaims that he'll go to Kukuroo Mountain to rescue Killua"
21,"Upon arriving in the Republic of Podokea, Gon, Leorio and Kurapika head to Kukuroo Mountain where Killua lives. But they're blocked by a massive gate"
22,"Gon and his friends decide to pass through the Trial Gate to see Killua, but they require strength training in order to open it"
23,"With help from Canary, who's concerned about Killua, Gon and his friends get closer to the mansion -- where Killua is in solitary confinement"
24,"At the butler's office, Gon and his friends meet Goto, who challenges them to a game to determine whether they're worthy of being Killua's friends"
25,"On Whale Island, a letter from Gon arrives for Mito.Release year: 2012Gon and Killua go to Heavens Arena -- the site of round-the-clock fighting tournaments -- and learn about an energy that manifests superhuman powers"
26,"Gon and Killua arrive at Heavens Arena, where they meet a teen with astonishing strength who uses a strange technique reminiscent of Illumi's"
27,"As Wing explains the four key principles of Nen to the boys, Killua believes they aren't being told the whole story"
28,"After reaching the 200th floor, Gon and Killua run into Hisoka's barrier of Nen and decide to ask Wing for help"
29,"Facing Gido in a Heavens Arena match, Gon uses Ten to protect himself but soon finds himself defending against Gido's Dancing Tops technique"
30,"A month has passed since Gon was seriously injured, and a confident Kastro is about to fight the unflappable Hisoka in Heavens Arena"
31,"Kastro and Hisoka square off in Heaven's Arena, where Kastro seems to have the advantage after creating a clone of himself and severing Hisoka's arm"
32,"After a two-month break, Gon and Killua are allowed to practice Nen again -- prompting Gido, Sadaso and Riehlvelt to press for a fight in the arena"
33,"In a fight against Gido, Gon withstands his attacks and overwhelms him, which impresses Hisoka"
34,"Gon and Killua begin training in Hatsu. Later, Gon challenges Hisoka to return the favor from the Hunter Exam"
35,"After punching Hisoka in the face, Gon returns the tag from the Hunter Exam. Hisoka is ecstatic to see Gon's development"
36,"After learning Nen and becoming a true Hunter, Gon returns to Whale Island, where Mito gives him a box from his father"
37,"Gon hears a recording of his father's voice on a cassette tape. But when the tape is stopped, the message is erased.Release year: 2012At the world's largest auction in Yorknew City, Gon, Killua and Leorio try to buy a video game that could help Gon find his father"
38,"The Phantom Troupe is Kurapika's most hated enemy. Five years ago, they took his relatives and friends, along with their scarlet eyes"
39,Kurapika and the other job seekers arrive at the home of a human trophy collector and are attacked by an unknown force
40,The biggest auction in the world is about to take place in Yorknew City. The Phantom Troupe leader has instructed the members to gather in the city
41,"The auction is finally about to begin. Gon, Killua and Leorio are working hard to amass enough money to buy Greed Island"
42,"The Phantom Troupe attacks the underground auction held by the Mafia. Afterward, there is no sign of the merchandise or guests"
43,"After Uvogin slaughters the Mafia's pursuit, the Mafia dispatches their secret weapon, the Shadow Beasts"
44,"Kurapika is able to capture Uvogin, a member of the Phantom Troupe. Kurapika struggles to control his rage as Uvogin makes demands"
45,"Uvogin was able to escape. However, after the blow to his pride, he is determined to track down Kurapika and defeat him"
46,"Kurapika finds himself face-to-face with Uvogin, a member of the Phantom Troupe that destroyed his Kurta clan"
47,"Gon, Killua and Leorio are trying to get their hands on enough money to buy Greed Island"
48,Gon and Killua have been captured by the Phantom Troupe. They are questioned about the chain user that the Troupe is searching for
49,Gon and his friends are hoping to win the reward that's been placed on the Phantom Troupe
50,"The auction has been rescheduled, and the Mafia expects the Phantom Troupe to attack again"
51,"The Troupe is attacking the auction with all their power. The Ten Dons' hired assassins are no match, except for Zeno and Silva"
52,"The leader of the Phantom Troupe is dead, and Kurapika is shocked by the news. Unconvinced, he tries to get a glimpse of the body"
53,"Gon, Killua, Kurapika and Leorio are finally reunited. Kurapika reveals his Nen powers to the others"
54,"After Chrollo tells fortunes for all of the Troupe members, they suspect that Hisoka has betrayed them"
55,"Chrollo uses the information he has on Neon to identify the location of the chain user, Kurapika"
56,The Phantom Troupe has learned that Kurapika was the one who killed Uvogin. Chrollo takes Gon and Killua to the hotel lobby
57,Kurapika has captured Chrollo. He offers to release Chrollo if Pakunoda brings Gon and Killua to him.Release year: 2012Gon and Killua join a team financed by a billionaire and are trained by a 57-year-old Nen master who looks like a 12-year-old girl
58,"The game Greed Island, which holds a clue to finding Ging, is finally at auction. Gon and Killua ask the winning buyer to hire them as players"
59,Gon and Killua are trying to get themselves chosen as Greed Island players. Only 32 of the 200 applicants will pass. Can Gon and Killua make it?61. Invitation x and x Friend
60,"Gon and Killua have finally made it inside the world of Greed Island. However, all they find is a message from Ging telling Gon to enjoy the game"
61,"Gon and Killua set off for Masadora in search of spell cards. On the way, they run into many different monsters"
62,Bisky is looking to train Gon and Killua. Their first test is to defeat the bounty hunter Binolt within two weeks
63,Gon and Killua are gradually improving their Nen under Bisky's tutelage. They are now able to capture the monsters they previously struggled against
64,"After hearing Bisky's lecture on rock-paper-scissors, Gon decides to work on a special technique using Enhancer, Emitter and Conjurer abilities"
65,"Now that Gon, Killua and Bisky are together again, they begin working on beating the game by collecting cards"
66,Gon and Killua receive an invitation from other players to team up to prevent Genthru from beating the game
67,"The condition for obtaining Patch of Shore is to chase a band of 15 pirates out of town. Gon and crew are immediately taken to the boss, Razor"
68,"Gon and his friends have teamed up with Hisoka and Goreinu to challenge Razor again. To round out the party, they recruit Team Tsezgerra"
69,"Gon is unable to hold onto Razor's throw and is sent to the outfield. He uses Back to return, but Hisoka is also injured"
70,"Gon, Killua and Hisoka team up to catch Razor's strongest throw. Once the ball has been secured, Gon uses all of his strength to launch it at Razor"
71,"In order to beat the game, the other players must face off against Genthru. Tsezgerra offers to distract Genthru for three weeks"
72,Tsezgerra's team has not returned to the game. Genthru finally turns his attention to Gon's group
73,"Genthru has shown that he is much stronger than Gon. However, after Gon refuses to back down, he finally uses Little Flower to severely injure Gon"
74,"After defeating Genthru and collecting 99 restricted cards, Gon and his friends participate in the final event, a quiz tournament open to all players.Release year: 2013When Gon, Killua and Kite are hired to investigate a strange insect leg that washed ashore, genetic testing links it to an abnormally large ant"
75,"Gon and Killua use the cards they brought back from the game to warp to Nigg, who they believe is Ging. However, they are sent to a different man"
76,"Gon and Killua join Kite's team to investigate the Chimera Ants, dangerous insects that can pass traits from the prey they consume to their offspring"
77,Kite uses the location where the Chimera Ant arm was discovered and ocean patterns to determine the location of the actual Chimera Ant
78,"After passing a strict checkpoint, Gon and his new friends enter NGL where they suspect the Chimera Ant is. However, ten other teams already arrived"
79,Pokkle and Ponzu use Ponzu's bees to deliver messages asking the Hunter Association to help eliminate the Chimera Ants
80,"Gon, Killua and Kite discover the remains of a destroyed village. There, they encounter their first Chimera Ant"
81,"Some of the more aggressive Chimera Ants have eaten the villains who ran the NGL underground, and have grown increasingly evil"
82,"The Hunter Association has dispatched a force to exterminate the Chimera Ants. Meanwhile, Gon and his friends are being targeted by Chimera Ants"
83,"Hagya sends his soldiers after Gon, Killua and Kite in an attempt to capture rare humans. Gon and his friends struggle as Chimera Ants attack"
84,"Kite, Gon and Killua follow Hagya as they seek the Chimera Ant nest where the Queen awaits"
85,"Kite used himself as a decoy to allow Gon and Killua to escape. The two boys vow to save Kite, believing that he lives"
86,"Gon and Killua are training to take the tokens from their targets. Immediately after finishing their training, they're sent by Bisky to fight Knuckle"
87,"Gon and Killua head back to their lodging, exhausted after battling Knuckle. That is when their second opponent, Shoot, attempts to finish them off"
88,"Gon has finally forced Knuckle to use his full strength. However, Knuckle immediately identifies the weakness in Jajanken, Gon's special attack"
89,Gon and Killua are finally facing off against Knuckle and Shoot. Killua takes Shoot while Gon's opponent is Knuckle
90,"At long last, the Queen gives birth to the King. The Chimera Ants are cowed by the menancing aura emitted by the King"
91,"After surrendering, Colt requests that the Hunters save the dying Queen. Morel immediately dispatches a team of researchers to the castle"
92,"The King is on the move. After invading the Republic of East Gorteau and eating a Nen user's aura, his own power grows"
93,"While Gon is on a date with Palm, Killua encounters Rammot in the forest. Killua does not want to let Gon -- who can't use Nen -- get in a fight"
94,"The difference in physical strength between Chimera Ants and humans is immense, as the two Hunters appear to be overwhelmed by Cheetu's speed"
95,"Kalluto, Feitan, Shalnark, Phinks, Shizuku and Bonolenov arrive at Meteor City after hearing that Chimera Ants have taken over"
96,"Zazan has built a new Chimera Ant nest in Meteor City, home of the Phantom Troupe. The Phantom Troupe members head inside the nest to defeat Zazan"
97,"Gon and Killua infiltrate the Republic of East Gorteau in an attempt to stop the selection process that is occurring, only to find it deserted"
98,"Killua and Gon split up to stop the selection process, but Gon finds his path blocked by two new Chimera ants, an owl and a bat"
99,"Knuckle and Shoot attempt to ambush Cheetu, but at the last moment, Cheetu changes directions and vanishes"
100,"The sniper targeting Killua was actually Ikalgo the octopus. Even though his life at risk, he refuses to betray his friends"
101,"Gon grows closer to the ant-chimera Meleoron, who explains his motivations. The king kills time (and sometimes his opponents) by playing board games"
102,"While the king lines up his matches against the young Gungi champion in Peijing, the capital, Morel uses his powers to besiege the city"
103,"Morel is still stuck with Djido, while his Deep Purple continues to clean the city with Nov. The king keeps losing against the young Gungi champion"
104,The Gungi matches are non-stop and the king is in a bad position. Nov approaches the palace but will he be able to get in?106. Knov × And × Morel
105,"When Neferpitou lowers his guard, Nov manages to sneak into the palace. He tries to put his exit tunnels in place while Morel confronts Leol"
106,Morel fights Leol. Palm begins her mission in the palace’s under-belly. Killua wakes up in the hospital with Ikalgo by his side
107,Neferpitou takes the lead in the selection. The king keeps playing Gungi but his opponent is tough. Pufu worries about the girl’s influence on him
108,Gon and his comrades put the finishing touches on the mission before entering the palace. The guards kick off the big gathering before the selection
109,Everyone stays in their positions and envisions different scenarios. Welfin doesn’t understand what Nov did in the palace. Bizeff panics
110,"As Morel prepares to give the signal, Netero and Zeno throw themselves over the royal palace. Pitou smells a threats. Netero will show his strength"
111,Gon and his friends discover Yupi. Zeno’s Dragon Dive causes carnage. Killua finds out that Netero hired Zeno but Gon was the first to attack Yupi
112,A wounded Shoot must still face Yupi. Morel has to find Pufu while Ikalgo heads to the palace basement. Gon and Killua hunt down Pitou and the king
113,"The king, Netero and Zeno clash just like Shoot and Yupi. Pufu is a prisoner in Morel’s Smoke Jail. Ikalgo runs into Djido and Burovuta"
114,Ikalgo looks for Palm but doesn’t know that Burovuta and Welfin distrust him. Knuckle takes on Yupi single-handedly in order to save Shoot
115,"Gon and Killua finally find Neferpitou, the guard who killed Kite. Gon is anxious to fight it out but Pitou is busy looking after Komugi"
116,Gon waits for Pitou and Killua runs away with Meleoron. Knuckle understands that Yupi wants to protect the throne and decides to get rid of Shoot
117,"Ikalgo looks for Palm and stumbles upon the spot where Bizeff was hiding his wives. However, Burovuta is watching him, lurking at the exit"
118,"Killua, who has just saved Knuckle, vents to Yupi who is incredulous. Ikalgo thinks about the best way to neutralize Burovuta"
119,Morel attacks Pufu’s chrysalis but it is empty. Pufu has decomposed and is rebuilding himself bit by bit. Morel tries to stop him
120,Pufu seems to be trapped by Gon and Pitou and demands an explanation. Morel seems exhausted but Yupi uses so much Nen that he is really at risk
121,Pufu’s plan has worked well: Pitou has revealed the king’s position and Pufu goes off to find him. The king and Netero must fight
122,"Netero and the king prepare for their final battle. Ikalgo hates that he can’t kill Burovuta and help his friends but suddenly, Welfin surprises him"
123,"The selection must create a new race of soldier ants, but the first experiment is about the hatch. While Killua goes to meet Gon, she finds Palm"
124,"Knuckle meets Gon who waits for Pitou to cure Komugi. He provokes Pufu, who escapes from the tower to rejoin the king. Pufu and Netero battle it out"
125,Netero and the king continue their fight. Netero wants to kill the king but the king has to deliver Netero alive so that he reveals his name
126,President Netero is at the site of the Rose Miniature explosion. Pufu and Yupi understand that a tragedy has occurred and go see where it took place
127,Pufu and Yupi find the king in agony after the explosion. There isn’t enough time for his guards to take him to Pitou. Pufu has a radical solution
128,"The king, resuscitated by his guards, goes back to the palace to get his memory back. Pufu is bent on killing Komugi so the king won’t remember her"
129,Pufu does his best to stop the king from remembering Komugi. Gon arrives at Peijin where Pitou has promised to treat Kite
130,Gon understands that something has happened to Kite. He becomes furious and risks his life by transcending himself. Killua rushes to his friend
131,"Pufu and Yupi do their best to make the king forget about Komugi but Pitou comes back, unaware of it all, and the victim is in Palm’s grasp"
132,Pufu spreads his hypnotic scales on the crowd outside the palace. Yupi doesn’t know that Gon has killed Pitou. Their plan is stymied because of Gungi
133,"Pufu still hopes to get rid of Komugi. The king deploys his En and finds Welfin, who he then interrogates. Pufu’s secret might come out"
134,The king knows that he was poisoned. He uses his En to find Palm and asks where Komugi is. He wants to spend his last days playing Gungi with her
135,"The king is dead. The last chimera ants leave East Goruto. Killua and his friends watch Gon. The Hunters prepare for president Netero’s succession.Release year: 2014As the Zodiacs gather to elect a new chairman of the Hunter Association, Gon's friends and allies race to save his life"
136,"The Zodiac 12 Council is assembled. All of its members, at least the whimsical ones, must decide on the terms of the election for Netero’s successor"
137,"While the Zodiac 12 continues to debate, Killua goes back to his family to reconnect with Alluka"
138,"Illumi explains to Hisoka why Alluka's power has been forbidden. If granted, Killua's wish could kill thousands, including the Zoldyck family"
139,Killua takes Alluka away from the Zoldycks but he must respect the strict rules on the outside. Killua must reach Gon
140,The results of the 4th round of the Hunters presidential election are revealed. Killua learns that his loved ones are divided over Alluka’s fate
141,"Gotoh and Hisoka fight till the death. Killua continues on to the hospital where he finds Gon, but the three intendants give him a hard time"
142,"Killua travels by airship to sprinkle seeds. In efforts to catch Illumi and Hisoka, Loupe and Bushidora, and Teradein all lose great men"
143,There are only four candidates left but Cheadle and Mizaistom want to bring Pariston down. The unexpected candidate Leorio will give a speech
144,Killua asks Nanika to save Gon. Leorio shoots past Pariston in the 8th round but it looks like he’s in trouble. Cheadle is certain of her victory
145,Gon and his father find each other but the presidential election is not over. Cheadle sees her last chance to beat Pariston in Gon’s apparition
146,A chimera ant confides in Kite who is reincarnated as a girl: do souls exist and we are destined to repeat our lives identically each time?148. Past × And × Future
147,Gon reaches the top of the world tree where he finds his father who finally tells him about his ambitions. New adventures from a new perspective.
